"bathy" "bathyrms" "slope" "aspect" "longitude" "latitude"
"311" -4696 143.051040649 29.6425743103 162.181930542 228.25 30.75
"312" -4782.5 125.303222656 29.851978302 164.67880249 228 30.75
"313" -4734.125 129.481796265 31.2112731934 164.167953491 227.75 30.75
"314" -4719.5 126.456733704 30.7912635803 190.593597412 227.5 30.75
"315" -4726.5 56.1123962402 21.7987995148 159.778213501 227.25 30.75
"316" -4660.25 61.8566360474 23.3639297485 149.193603516 227 30.75
"317" -4623.75 74.2535247803 19.3945388794 193.661834717 226.75 30.75
"318" -4632 52.0401992798 18.7721557617 187.548751831 226.5 30.75
"319" -4584.25 159.532012939 33.7236289978 170.159011841 226.25 30.75
"320" -4666 191.755783081 29.8182544708 195.764907837 226 30.75
"321" -4690 76.355430603 19.6448001862 190.711013794 225.75 30.75
"322" -4715.5 85.0607223511 25.3816184998 192.638549805 225.5 30.75
"323" -4745 81.9851074219 30.8266792297 206.093048096 225.25 30.75
"324" -4750 97.2013778687 31.3961658478 197.690490723 225 30.75
"325" NA NA NA NA 245 31
"326" NA NA NA NA 244.75 31
"327" NA NA NA NA 244.5 31
"328" NA NA NA NA 244.25 31
"329" NA NA NA NA 244 31
"330" NA NA NA NA 243.75 31
"331" -207.5 468.40637207 32.7953414917 248.600036621 243.5 31
"332" -1532.75 275.043457031 63.9351577759 236.736572266 243.25 31
"333" -1911.25 266.553649902 62.7508850098 190.249633789 243 31
"334" -1861.75 185.66418457 53.8994941711 135.861129761 242.75 31
"335" -1827.25 152.88230896 32.8374099731 146.71484375 242.5 31
"336" -1761 212.927978516 34.0892524719 183.287719727 242.25 31
"337" -1686.5 189.022827148 45.3996543884 205.253479004 242 31
"338" -1778 141.258117676 46.0534553528 211.270782471 241.75 31
"339" -2018 338.636657715 56.2618179321 206.024200439 241.5 31
"340" -2719.5 427.669158936 67.1327667236 225.042510986 241.25 31
"341" -3448.5 275.43145752 50.1032791138 237.99432373 241 31
"342" -3668.125 76.2209320068 17.5432090759 179.060165405 240.75 31
"343" -3661.75 124.86341095 20.8877906799 158.653121948 240.5 31
"344" -3654 147.370452881 30.1229896545 207.065948486 240.25 31
"345" -3765.625 91.9630050659 23.2358036041 221.339294434 240 31
"346" -3888 48.6850318909 18.830083847 217.046081543 239.75 31
"347" -3855 40.0071334839 15.5498580933 142.2890625 239.5 31
"348" -3866.75 65.5661849976 17.2092075348 232.74105835 239.25 31
"349" -3947.875 60.9937667847 24.6741886139 209.559082031 239 31
"350" -3951 80.8579101562 29.4997081757 196.601013184 238.75 31
"351" -4040 69.318397522 24.1628341675 237.031845093 238.5 31
"352" -4099.75 57.1092567444 25.588684082 198.888778687 238.25 31
"353" -4120 119.770957947 32.152141571 189.482696533 238 31
"354" -4123.75 84.5434417725 44.4047088623 197.105300903 237.75 31
"355" -4114.75 102.655044556 46.9935379028 198.45425415 237.5 31
"356" -4100 137.894134521 47.7057304382 174.928497314 237.25 31
