"bathy" "longitude" "latitude"
"5623" -4281 233.25 31.75
"5624" -4278.5 233.5 31.75
"5625" -4233.5 233.75 31.75
"5626" -4273.875 234 31.75
"5627" -4271 234.25 31.75
"5628" -4234 234.5 31.75
"5629" -4169.625 234.75 31.75
"5630" -4220 235 31.75
"5631" -4244.625 235.25 31.75
"5632" -4263.5 235.5 31.75
"5633" -4265.375 235.75 31.75
"5634" -4231.875 236 31.75
"5635" -4227 236.25 31.75
"5636" -4248 236.5 31.75
"5637" -4191.25 236.75 31.75
"5638" -4161 237 31.75
"5639" -4120.25 237.25 31.75
"5640" -4101.5 237.5 31.75
"5641" -4058.75 237.75 31.75
"5642" -3956.75 238 31.75
"5643" -3960.5 238.25 31.75
"5644" -3972.125 238.5 31.75
"5645" -3906.25 238.75 31.75
"5646" -3798.75 239 31.75
"5647" -3916.5 239.25 31.75
"5648" -3979.625 239.5 31.75
"5649" -3963.875 239.75 31.75
"5650" -3750.125 240 31.75
"5651" -3659 240.25 31.75
"5652" -2711.5 240.5 31.75
"5653" -1695 240.75 31.75
"5654" -1488.5 241 31.75
"5655" -1488.5 241.25 31.75
"5656" -1592.5 241.5 31.75
"5657" -1477 241.75 31.75
"5658" -1586.375 242 31.75
"5659" -1559.875 242.25 31.75
"5660" -1410.25 242.5 31.75
"5661" -1292.25 242.75 31.75
"5662" -1115 243 31.75
"5663" -288.5 243.25 31.75
"5664" NA 243.5 31.75
"5665" NA 243.75 31.75
"5666" NA 244 31.75
"5667" NA 244.25 31.75
"5668" NA 244.5 31.75
"5669" NA 244.75 31.75
"5670" NA 245 31.75
"5509" -4880 225 32
"5510" -4823.5 225.25 32
"5511" -4733 225.5 32
"5512" -4720 225.75 32
"5513" -4704.75 226 32
"5514" -4622.125 226.25 32
"5515" -4635 226.5 32
"5516" -4749 226.75 32
"5517" -4763 227 32
"5518" -4708.75 227.25 32
"5519" -4605.25 227.5 32
"5520" -4550.75 227.75 32
"5521" -4549 228 32
"5522" -4560 228.25 32
"5523" -4574.5 228.5 32
"5524" -4583 228.75 32
"5525" -4602.5 229 32
"5526" -4605.5 229.25 32
"5527" -4554.5 229.5 32
"5528" -4530 229.75 32
"5529" -4466.75 230 32
"5530" -4436.5 230.25 32
"5531" -4462.625 230.5 32
"5532" -4451.75 230.75 32
"5533" -4377.75 231 32
"5534" -4364 231.25 32
"5535" -4411 231.5 32
"5536" -4360.625 231.75 32
"5537" -4291.125 232 32
"5538" -4318.75 232.25 32
"5539" -4361.25 232.5 32
"5540" -4324.25 232.75 32
"5541" -4081.5 233 32
"5542" -4187 233.25 32
"5543" -4287 233.5 32
"5544" -4283 233.75 32
"5545" -4302 234 32
"5546" -4310.5 234.25 32
"5547" -4352.625 234.5 32
"5548" -4322 234.75 32
"5549" -4252 235 32
"5550" -4235 235.25 32
"5551" -4241.75 235.5 32
"5552" -4250 235.75 32
"5553" -4252 236 32
"5554" -4244.25 236.25 32
"5555" -4263.75 236.5 32
"5556" -4270 236.75 32
"5557" -4323 237 32
"5558" -4295.25 237.25 32
"5559" -4223.5 237.5 32
"5560" -4121.5 237.75 32
"5561" -3977.875 238 32
"5562" -3968.25 238.25 32
"5563" -3983.375 238.5 32
"5564" -3933.75 238.75 32
"5565" -3895 239 32
"5566" -3846 239.25 32
"5567" -3861 239.5 32
"5568" -3806 239.75 32
"5569" -3581.5 240 32
"5570" -3048.75 240.25 32
"5571" -1690 240.5 32
"5572" -1555.5 240.75 32
"5573" -1415.25 241 32
"5574" -1213.25 241.25 32
"5575" -1148.5 241.5 32
"5576" -1383.5 241.75 32
"5577" -1624.5 242 32
"5578" -1655.625 242.25 32
"5579" -1417 242.5 32
"5580" -1295 242.75 32
"5581" -715 243 32
"5582" NA 243.25 32
"5583" NA 243.5 32
"5584" NA 243.75 32
"5585" NA 244 32
"5586" NA 244.25 32
"5587" NA 244.5 32
"5588" NA 244.75 32
"5589" NA 245 32
"5428" -4788.5 225 32.25
"5429" -4769 225.25 32.25
"5430" -4734 225.5 32.25
"5431" -4824.75 225.75 32.25
"5432" -4799 226 32.25
"5433" -4652.375 226.25 32.25
"5434" -4697 226.5 32.25
"5435" -4792 226.75 32.25
"5436" -4808 227 32.25
"5437" -4806.5 227.25 32.25
"5438" -4694.5 227.5 32.25
"5439" -4575.5 227.75 32.25
"5440" -4575.5 228 32.25
"5441" -4541.5 228.25 32.25
"5442" -4573.5 228.5 32.25
"5443" -4596.75 228.75 32.25
"5444" -4594 229 32.25
"5445" -4574 229.25 32.25
"5446" -4537 229.5 32.25
"5447" -4484 229.75 32.25
"5448" -4467 230 32.25
"5449" -4444.375 230.25 32.25
"5450" -4474.5 230.5 32.25
"5451" -4448 230.75 32.25
"5452" -4381 231 32.25
"5453" -4386.125 231.25 32.25
"5454" -4465.25 231.5 32.25
"5455" -4361.5 231.75 32.25
"5456" -4252.5 232 32.25
"5457" -4117.25 232.25 32.25
"5458" -4238.75 232.5 32.25
"5459" -4248.5 232.75 32.25
"5460" -4171 233 32.25
"5461" -4331.25 233.25 32.25
"5462" -4376.5 233.5 32.25
"5463" -4367.25 233.75 32.25
"5464" -4352.875 234 32.25
"5465" -4347.75 234.25 32.25
"5466" -4387 234.5 32.25
"5467" -4382 234.75 32.25
"5468" -4329 235 32.25
"5469" -4285 235.25 32.25
"5470" -4289 235.5 32.25
"5471" -4277.25 235.75 32.25
"5472" -4264.625 236 32.25
"5473" -4228 236.25 32.25
"5474" -4213 236.5 32.25
"5475" -4221 236.75 32.25
"5476" -4245.5 237 32.25
"5477" -4285 237.25 32.25
"5478" -4280 237.5 32.25
"5479" -4219.25 237.75 32.25
"5480" -4135 238 32.25
"5481" -4106 238.25 32.25
"5482" -4038 238.5 32.25
"5483" -3911 238.75 32.25
"5484" -3841.25 239 32.25
"5485" -3806 239.25 32.25
"5486" -3816.5 239.5 32.25
"5487" -3653 239.75 32.25
"5488" -2801.5 240 32.25
"5489" -1503 240.25 32.25
"5490" -1487.5 240.5 32.25
"5491" -1365.75 240.75 32.25
"5492" -1234.5 241 32.25
"5493" -1348.625 241.25 32.25
"5494" -1257.5 241.5 32.25
"5495" -1234 241.75 32.25
"5496" -1687.375 242 32.25
"5497" -1674 242.25 32.25
"5498" -1352 242.5 32.25
"5499" -1152 242.75 32.25
"5500" -181 243 32.25
"5501" NA 243.25 32.25
"5502" NA 243.5 32.25
"5503" NA 243.75 32.25
"5504" NA 244 32.25
"5505" NA 244.25 32.25
"5506" NA 244.5 32.25
"5507" NA 244.75 32.25
"5508" NA 245 32.25
"5347" -4446.25 225 32.5
"5348" -4454 225.25 32.5
"5349" -4491 225.5 32.5
"5350" -4598 225.75 32.5
"5351" -4673.75 226 32.5
"5352" -4587.25 226.25 32.5
"5353" -4685 226.5 32.5
"5354" -4781.875 226.75 32.5
"5355" -4812.875 227 32.5
"5356" -4833 227.25 32.5
"5357" -4703.75 227.5 32.5
"5358" -4478 227.75 32.5
"5359" -4500.5 228 32.5
"5360" -4495 228.25 32.5
"5361" -4487.75 228.5 32.5
"5362" -4518.75 228.75 32.5
"5363" -4500 229 32.5
"5364" -4472.375 229.25 32.5
"5365" -4446.5 229.5 32.5
"5366" -4421.75 229.75 32.5
"5367" -4442 230 32.5
"5368" -4350 230.25 32.5
"5369" -4315.375 230.5 32.5
"5370" -4415 230.75 32.5
"5371" -4424.375 231 32.5
"5372" -4457.625 231.25 32.5
"5373" -4440.125 231.5 32.5
"5374" -4359.5 231.75 32.5
"5375" -4333 232 32.5
"5376" -3752 232.25 32.5
"5377" -4238 232.5 32.5
"5378" -4371 232.75 32.5
"5379" -4415.5 233 32.5
"5380" -4399.5 233.25 32.5
"5381" -4381 233.5 32.5
"5382" -4384 233.75 32.5
"5383" -4357 234 32.5
"5384" -4372.75 234.25 32.5
"5385" -4439 234.5 32.5
"5386" -4444.5 234.75 32.5
"5387" -4389 235 32.5
"5388" -4379.875 235.25 32.5
"5389" -4373 235.5 32.5
"5390" -4339.75 235.75 32.5
"5391" -4323 236 32.5
"5392" -4284.25 236.25 32.5
"5393" -4241 236.5 32.5
"5394" -4215.25 236.75 32.5
"5395" -4172 237 32.5
"5396" -4214.5 237.25 32.5
"5397" -4226.5 237.5 32.5
"5398" -4146 237.75 32.5
"5399" -4070 238 32.5
"5400" -4067.75 238.25 32.5
"5401" -3988.875 238.5 32.5
"5402" -3880.5 238.75 32.5
"5403" -3824.625 239 32.5
"5404" -3809 239.25 32.5
"5405" -3794.625 239.5 32.5
"5406" -3255.625 239.75 32.5
"5407" -1558.5 240 32.5
"5408" -1163.5 240.25 32.5
"5409" -1048.75 240.5 32.5
"5410" -432.125 240.75 32.5
"5411" -670 241 32.5
