"lat","lon","sst","bathy","bathyrms","slope","aspect","chl","uy10","wekm","eke","sshd"
30.25,235.75,17.0520000458,-4300.5,166.163070679,32.6279983521,178.48135376,0.123899996281,-5.39545965195,-7.25725442408e-07,0.00117950854597309,0.0124262999743
30.25,236,16.905714035,-4291.5,73.3037185669,28.6224098206,185.403030396,0.141699999571,-4.82012987137,1.39341739214e-06,0.000775767162179087,0.00537069002166
30.25,236.25,16.6858348846,-4306,120.077972412,35.6287689209,184.318984985,0.161818191409,-4.95616674423,1.16946034723e-06,0.000775767162179087,0.00537069002166
30.25,236.5,16.1821422577,-4224,124.799232483,41.178894043,183.830535889,0.209777772427,-4.77287817001,6.08411426128e-07,0.00126485895809597,-0.0169952996075
30.25,236.75,15.9650011063,-4231,82.7996063232,41.5690155029,178.880355835,0.255124986172,-4.51671409607,6.08411426128e-07,0.00126485895809597,-0.0169952996075
30.25,237,15.9099998474,-4217,280.544708252,56.5782051086,216.447113037,0.26519998908,-4.75347423553,-1.78440848231e-06,0.000980477575192869,-0.0297536998987
30.25,237.25,15.8716669083,-4067,446.180511475,89.7987976074,163.015838623,0.268428593874,-4.67205095291,-1.40158476825e-06,0.000980477575192869,-0.0297536998987
30.25,237.5,15.9479999542,-4173,174.583694458,27.952501297,160.065460205,0.258000016212,-4.75640106201,-2.62529511019e-07,0.000655305469307933,-0.0269709005952
30.25,237.75,16.1780014038,-4204,69.9214935303,17.5789051056,188.61541748,0.241444453597,-4.72255134583,-1.49930826865e-07,0.000655305469307933,-0.0269709005952
30.25,238,16.2699985504,-4157.5,84.0632171631,28.1506347656,206.214172363,0.236500009894,-4.58758735657,-2.63751894636e-06,0.000856861043291847,-0.0188512001187
30.25,238.25,15.8287496567,-4051.5,122.483169556,33.991191864,178.447967529,0.255142867565,-4.98655605316,-1.66180359429e-06,0.000856861043291847,-0.0188512001187
30.25,238.5,15.7142858505,-3988.125,86.6112365723,25.6124038696,210.076019287,0.272111088037,-5.08750629425,3.9715214939e-07,0.000618139313828509,-0.0152628999203
30.25,238.75,15.6816663742,-3931,92.9736938477,23.5435714722,204.953826904,0.290100008249,-4.95204544067,2.16561844013e-07,0.000618139313828509,-0.0152628999203
30.25,239,15.7291669846,-3926,79.8834609985,21.2456874847,160.74067688,0.276222199202,-4.94187068939,-1.71061316223e-07,0.000544315355557613,-0.0301005002111
30.25,239.25,16.0541667938,-3964.375,82.2725830078,16.9628314972,165.91343689,0.234999984503,-4.91937303543,4.74090313674e-07,0.000544315355557613,-0.0301005002111
30.25,239.5,16.2521419525,-3965,225.992828369,27.0033893585,176.57975769,0.185777783394,-4.59016561508,-1.87726527656e-06,0.000187320966775176,-0.0360440015793
30.25,239.75,16.2928581238,-3818.75,532.546264648,75.3482208252,233.877471924,0.180875003338,-5.04904794693,-2.11594965549e-06,0.000187320966775176,-0.0360440015793
30.25,240,16.3264274597,-3796,830.231262207,105.650634766,186.443878174,0.172375008464,-5.13592100143,1.26228997033e-06,0.00041012395334256,-0.0177264995873
30.25,240.25,16.4043750763,-3814,496.441162109,51.835319519,180.380523682,0.160125002265,-4.71742677689,1.96903897631e-06,0.00041012395334256,-0.0177264995873
30.25,240.5,16.4366664886,-3750,160.433670044,34.5752182007,185.35736084,0.144454538822,-4.73606872559,1.90304319858e-06,0.00281845055472753,0.017909899354
30.25,240.75,16.4116668701,-3728.5,87.3936691284,26.2196369171,215.661727905,0.147714287043,-4.59899425507,1.17537204858e-07,0.00281845055472753,0.017909899354
30.25,241,16.4592857361,-3652,129.671905518,27.5946445465,224.785125732,0.156750008464,-4.26623106003,7.58359874453e-07,0.00573608163441818,0.0343778990209
30.25,241.25,16.2933330536,-3562.625,134.336761475,21.5438919067,234.792053223,0.187454551458,-4.18454217911,3.40639189744e-07,0.00573608163441818,0.0343778990209
30.25,241.5,15.7562503815,-3314,165.832962036,32.0940246582,222.319671631,0.288153856993,-4.1215929985,-2.67959364919e-07,0.0083273702879442,0.018642200157
30.25,241.75,15.6999998093,-3079.25,242.781784058,53.1501922607,215.386413574,0.290875017643,-4.26922082901,-5.58190720312e-07,0.0083273702879442,0.018642200157
30.25,242,15.98777771,-2888.75,349.685119629,51.9846496582,209.83895874,0.292199999094,-3.92507100105,-7.08774280156e-07,0.00523724703602379,-0.0213957000524
30.25,242.25,16.2210006714,-2735.5,587.31463623,75.8788452148,226.482131958,0.33599999547,-4.22504281998,-1.16617832191e-06,0.00523724703602379,-0.0213957000524
30.25,242.5,16.3759994507,-2296.5,729.051330566,139.158630371,227.844421387,0.368714272976,-3.89524650574,-1.41940847698e-06,0.000540194316208741,-0.0544444993138
30.25,242.75,16.5442848206,-2434.875,317.129943848,86.1585083008,193.744338989,0.381500005722,-3.56279015541,-8.17479474335e-07,0.000540194316208741,-0.0544444993138
30.25,243,16.5778560638,-2533.75,380.979125977,74.4771194458,193.032684326,0.313900023699,-3.65269494057,-1.00208900733e-07,0.000191908082088527,-0.0404072999954
30.25,243.25,16.7449989319,-2482,340.583129883,66.9247055054,212.41229248,0.257636338472,-3.83073663712,-3.10400679382e-07,0.000191908082088527,-0.0404072999954
30.25,243.5,17.0291652679,-1909.25,494.574066162,96.2401351929,220.395294189,0.225111111999,-3.33622431755,1.93169012164e-06,0.000757302750795364,0.00972026959062
30.25,243.75,17.0750007629,-1396.875,434.704528809,95.2075576782,239.803283691,0.266416668892,-2.89707279205,1.93169012164e-06,0.000757302750795364,0.00972026959062
30.25,244,16.7242851257,-102.5,150.39112854,17.0685348511,242.842956543,0.713461518288,NA,-2.12461100091e-06,0.00188461071717114,0.0396028012037
30.25,244.25,16.516664505,NA,NA,NA,NA,2.01488232613,NA,NA,0.00188461071717114,0.0396028012037
30.25,244.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0341029986739
30.25,244.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0341029986739
30.25,245,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0265311002731
30.5,225,18.8274993896,-4792,136.986038208,28.0042171478,168.435974121,0.0825999975204,-3.53295063972,1.31895944833e-06,0.00428473326584358,0.0129661001265
30.5,225.25,18.8250007629,-4808.5,75.2929763794,24.2222137451,197.264328003,0.0807142853737,-2.97506427765,-6.26591372566e-07,0.00428473326584358,0.0129661001265
30.5,225.5,18.7791671753,-4754,50.4085998535,20.5510444641,233.548919678,0.0789999887347,-3.65917921066,-3.37680171469e-06,0.00375312761724598,0.00903500989079
30.5,225.75,18.7799987793,-4634.75,67.1158981323,20.397026062,224.604019165,0.0833333283663,-3.3254327774,7.37927905448e-07,0.00375312761724598,0.00903500989079
30.5,226,18.7183322906,-4628,84.5832824707,27.0910015106,170.878311157,0.0847499966621,-3.59433507919,-1.47390881011e-06,0.0035874883301426,0.0160089991987
30.5,226.25,18.6450004578,-4649.125,216.024353027,36.3611564636,159.260009766,0.0838571414351,-3.82996487617,-1.47390881011e-06,0.0035874883301426,0.0160089991987
30.5,226.5,18.5929145813,-4641,104.158500671,29.1917858124,195.258972168,0.0816666707397,-3.64758276939,-2.53690899399e-07,0.00304834791163381,0.0167296994478
30.5,226.75,18.4700012207,-4591.75,94.9822006226,29.8138046265,193.064849854,0.0804000049829,-3.4816133976,-2.32964953284e-06,0.00304834791163381,0.0167296994478
30.5,227,18.5100002289,-4593,173.079147339,33.2553100586,168.431304932,0.082999996841,-3.80960297585,-1.76669379925e-06,0.0012219541448549,0.0270483996719
30.5,227.25,18.6481246948,-4664,131.562149048,28.8477134705,127.030601501,0.0810000002384,-3.97281455994,-2.23525489673e-06,0.0012219541448549,0.0270483996719
30.5,227.5,18.0862503052,-4755,83.3761978149,23.0412635803,135.751953125,0.0825999975204,-3.87163853645,-4.11071681583e-07,9.39286852530687e-05,0.0422562994063
